time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),hour,year
2016-01-01 12:00:00,4.8,0.0,0.0,80.0,56.0,0.0,99.0,9.5,261.0,12,2016
2016-01-02 12:00:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,264.0,12,2016
2016-01-03 12:00:00,0.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,231.0,12,2016
2016-01-04 12:00:00,0.1,0.0,0.0,58.0,60.0,7.0,0.0,16.5,324.0,12,2016
2016-01-05 12:00:00,-10.1,0.0,0.0,0.0,0.0,0.0,0.0,18.1,354.0,12,2016
2016-01-06 12:00:00,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,8.2,247.0,12,2016
2016-01-07 12:00:00,-3.3,0.0,0.0,39.0,27.0,0.0,49.0,3.1,291.0,12,2016
2016-01-08 12:00:00,-1.0,0.0,0.0,9.0,10.0,0.0,0.0,10.4,20.0,12,2016
2016-01-09 12:00:00,3.9,0.0,0.0,100.0,98.0,80.0,73.0,10.0,49.0,12,2016
2016-01-10 12:00:00,11.1,4.1,4.1,100.0,100.0,99.0,100.0,28.5,92.0,12,2016
2016-01-11 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,261.0,12,2016
2016-01-12 12:00:00,-3.3,0.0,0.0,27.0,0.0,24.0,43.0,8.1,122.0,12,2016
2016-01-13 12:00:00,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,26.0,266.0,12,2016
2016-01-14 12:00:00,-4.0,0.0,0.0,100.0,83.0,93.0,0.0,11.0,238.0,12,2016
2016-01-15 12:00:00,0.8,0.0,0.0,49.0,15.0,16.0,87.0,2.3,342.0,12,2016
2016-01-16 12:00:00,5.3,0.4,0.4,100.0,91.0,91.0,17.0,10.3,335.0,12,2016
2016-01-17 12:00:00,1.5,0.0,0.0,64.0,0.0,56.0,100.0,6.6,338.0,12,2016
2016-01-18 12:00:00,-4.6,0.0,0.0,32.0,34.0,2.0,0.0,24.2,295.0,12,2016
2016-01-19 12:00:00,-7.7,0.0,0.0,0.0,0.0,0.0,0.0,20.9,270.0,12,2016
2016-01-20 12:00:00,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,8.9,291.0,12,2016
2016-01-21 12:00:00,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,313.0,12,2016
2016-01-22 12:00:00,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,352.0,12,2016
2016-01-23 12:00:00,-3.2,2.9,0.0,100.0,20.0,97.0,80.0,32.3,45.0,12,2016
2016-01-24 12:00:00,-6.3,0.0,0.0,0.0,0.0,0.0,0.0,18.4,343.0,12,2016
2016-01-25 12:00:00,-7.4,0.0,0.0,2.0,0.0,1.0,6.0,7.1,319.0,12,2016
2016-01-26 12:00:00,-2.0,0.0,0.0,30.0,0.0,2.0,96.0,9.3,208.0,12,2016
2016-01-27 12:00:00,4.3,0.0,0.0,65.0,0.0,59.0,100.0,10.5,292.0,12,2016
2016-01-28 12:00:00,-10.1,0.0,0.0,44.0,49.0,0.0,0.0,2.7,337.0,12,2016
2016-01-29 12:00:00,-3.2,0.0,0.0,0.0,0.0,0.0,0.0,5.9,284.0,12,2016
2016-01-30 12:00:00,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,8.5,282.0,12,2016
2016-01-31 12:00:00,-0.1,0.0,0.0,78.0,0.0,81.0,97.0,7.9,231.0,12,2016
2016-02-01 12:00:00,4.4,0.0,0.0,32.0,0.0,7.0,91.0,12.4,234.0,12,2016
2016-02-02 12:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,9.2,312.0,12,2016
2016-02-03 12:00:00,6.3,0.0,0.0,100.0,99.0,100.0,100.0,13.8,133.0,12,2016
2016-02-04 12:00:00,12.0,0.1,0.1,100.0,100.0,24.0,99.0,8.7,277.0,12,2016
2016-02-05 12:00:00,0.8,2.4,0.0,90.0,0.0,100.0,100.0,19.4,350.0,12,2016
2016-02-06 12:00:00,-2.3,0.0,0.0,29.0,0.0,0.0,96.0,8.8,235.0,12,2016
2016-02-07 12:00:00,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,225.0,12,2016
2016-02-08 12:00:00,2.6,0.0,0.0,93.0,4.0,99.0,100.0,13.9,25.0,12,2016
2016-02-09 12:00:00,-2.6,0.0,0.0,100.0,97.0,99.0,0.0,10.9,73.0,12,2016
2016-02-10 12:00:00,0.3,0.1,0.0,100.0,32.0,94.0,92.0,7.6,239.0,12,2016
2016-02-11 12:00:00,-4.1,0.0,0.0,1.0,0.0,1.0,0.0,20.7,287.0,12,2016
2016-02-12 12:00:00,-8.2,0.0,0.0,0.0,0.0,0.0,0.0,10.4,290.0,12,2016
2016-02-13 12:00:00,-5.7,0.0,0.0,20.0,5.0,26.0,0.0,18.4,305.0,12,2016
2016-02-14 12:00:00,-16.8,0.0,0.0,0.0,0.0,0.0,0.0,18.4,321.0,12,2016
2016-02-15 12:00:00,-9.7,0.0,0.0,60.0,3.0,50.0,92.0,3.7,61.0,12,2016
2016-02-16 12:00:00,8.5,0.0,0.0,100.0,20.0,99.0,100.0,25.7,162.0,12,2016
2016-02-17 12:00:00,1.2,0.0,0.0,61.0,0.0,58.0,86.0,6.5,267.0,12,2016
2016-02-18 12:00:00,-2.5,0.0,0.0,6.0,0.0,0.0,20.0,12.3,328.0,12,2016
2016-02-19 12:00:00,-5.9,0.0,0.0,5.0,0.0,0.0,18.0,4.5,14.0,12,2016
2016-02-20 12:00:00,5.1,0.0,0.0,66.0,33.0,60.0,0.0,13.6,233.0,12,2016
2016-02-21 12:00:00,4.7,0.0,0.0,14.0,0.0,0.0,48.0,7.2,276.0,12,2016
2016-02-22 12:00:00,1.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,345.0,12,2016
2016-02-23 12:00:00,1.8,0.0,0.0,100.0,36.0,82.0,100.0,14.5,46.0,12,2016
2016-02-24 12:00:00,4.5,0.1,0.1,100.0,100.0,99.0,82.0,17.9,56.0,12,2016
2016-02-25 12:00:00,11.0,0.0,0.0,44.0,47.0,3.0,0.0,14.5,203.0,12,2016
2016-02-26 12:00:00,0.9,0.0,0.0,19.0,21.0,0.0,0.0,20.9,294.0,12,2016
2016-02-27 12:00:00,-3.3,0.0,0.0,54.0,6.0,37.0,88.0,10.5,301.0,12,2016
